Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
69,Globex Corp 69,globexcorp69.com,1991,Finance,5001-10000,"Raccoon City, State, USA",USA,https://linkedin.com/company/globexcorp69,4399,4703
70,Acme Corp 70,acmecorp70.com,1994,Engineering,5001-10000,"London, State, USA",USA,https://linkedin.com/company/acmecorp70,4833,5039
71,Initech Corp 71,initechcorp71.com,1975,Industrial,11-50,"New York, State, USA",USA,https://linkedin.com/company/initechcorp71,3239,3726
72,Wonka Corp 72,wonkacorp72.com,1971,Industrial,201-500,"New York, CA, USA",USA,https://linkedin.com/company/wonkacorp72,2005,2120
73,Globex Corp 73,globexcorp73.com,2012,Technology,51-200,"Gotham, CA, USA",USA,https://linkedin.com/company/globexcorp73,6952,7397
74,Stark Corp 74,starkcorp74.com,1983,Technology,51-200,"San Francisco, England, USA",USA,https://linkedin.com/company/starkcorp74,6738,6981
75,Hooli Corp 75,hoolicorp75.com,1979,Pharma,5001-10000,"Palo Alto, State, USA",USA,https://linkedin.com/company/hoolicorp75,1016,1259
76,Stark Corp 76,starkcorp76.com,1999,Technology,11-50,"Raccoon City, State, UK",UK,https://linkedin.com/company/starkcorp76,4870,4998
77,Tyrell Corp 77,tyrellcorp77.com,1993,Industrial,51-200,"New York, England, USA",USA,https://linkedin.com/company/tyrellcorp77,3231,3437
78,Wayne Corp 78,waynecorp78.com,2013,Engineering,5001-10000,"Palo Alto, England, USA",USA,https://linkedin.com/company/waynecorp78,3349,3803
79,Wonka Corp 79,wonkacorp79.com,1978,Chemicals,11-50,"Palo Alto, NY, UK",UK,https://linkedin.com/company/wonkacorp79,4993,5352
80,Stark Corp 80,starkcorp80.com,1966,Food & Beverage,11-50,"Los Angeles, State, UK",UK,https://linkedin.com/company/starkcorp80,1273,1569
81,Umbrella Corp 81,umbrellacorp81.com,2008,Food & Beverage,51-200,"New York, CA, USA",USA,https://linkedin.com/company/umbrellacorp81,6058,6455
82,Hooli Corp 82,hoolicorp82.com,1992,Engineering,501-1000,"Raccoon City, NY, UK",UK,https://linkedin.com/company/hoolicorp82,7020,7317
83,Wonka Corp 83,wonkacorp83.com,2019,Biotech,501-1000,"Palo Alto, England, UK",UK,https://linkedin.com/company/wonkacorp83,5037,5469
84,Stark Corp 84,starkcorp84.com,1987,Finance,11-50,"New York, NY, UK",UK,https://linkedin.com/company/starkcorp84,2432,2761
85,Wonka Corp 85,wonkacorp85.com,2019,Software,501-1000,"San Francisco, CA, USA",USA,https://linkedin.com/company/wonkacorp85,9944,10380
86,Wonka Corp 86,wonkacorp86.com,1965,Tech,1001-5000,"Raccoon City, England, USA",USA,https://linkedin.com/company/wonkacorp86,1031,1106
87,Initech Corp 87,initechcorp87.com,1991,Chemicals,501-1000,"Raccoon City, NY, UK",UK,https://linkedin.com/company/initechcorp87,5792,5835
88,Initech Corp 88,initechcorp88.com,1961,Tech,5001-10000,"Raccoon City, England, USA",USA,https://linkedin.com/company/initechcorp88,2459,2572
89,Wayne Corp 89,waynecorp89.com,2001,Software,1001-5000,"London, NY, USA",USA,https://linkedin.com/company/waynecorp89,4045,4334
90,Acme Corp 90,acmecorp90.com,1981,Chemicals,1001-5000,"Los Angeles, England, UK",UK,https://linkedin.com/company/acmecorp90,8741,8991
91,Oscorp Corp 91,oscorpcorp91.com,1975,Food & Beverage,1001-5000,"New York, England, USA",USA,https://linkedin.com/company/oscorpcorp91,3869,4227
92,Oscorp Corp 92,oscorpcorp92.com,1971,Biotech,51-200,"Los Angeles, England, USA",USA,https://linkedin.com/company/oscorpcorp92,9238,9352
93,Globex Corp 93,globexcorp93.com,2007,Chemicals,5001-10000,"Raccoon City, CA, UK",UK,https://linkedin.com/company/globexcorp93,5049,5523
94,Tyrell Corp 94,tyrellcorp94.com,1991,Technology,1001-5000,"New York, State, UK",UK,https://linkedin.com/company/tyrellcorp94,9720,10109
95,Initech Corp 95,initechcorp95.com,1999,Food & Beverage,201-500,"San Francisco, State, UK",UK,https://linkedin.com/company/initechcorp95,2150,2224
96,Wonka Corp 96,wonkacorp96.com,1972,Finance,5001-10000,"San Francisco, NY, UK",UK,https://linkedin.com/company/wonkacorp96,9619,9787
97,Wonka Corp 97,wonkacorp97.com,1997,Engineering,11-50,"Palo Alto, NY, UK",UK,https://linkedin.com/company/wonkacorp97,9230,9582
98,Umbrella Corp 98,umbrellacorp98.com,2013,Industrial,201-500,"San Francisco, State, USA",USA,https://linkedin.com/company/umbrellacorp98,1863,2120
99,Tyrell Corp 99,tyrellcorp99.com,1963,Tech,11-50,"London, NY, UK",UK,https://linkedin.com/company/tyrellcorp99,2698,2802
100,Hooli Corp 100,hoolicorp100.com,1990,Engineering,5001-10000,"Raccoon City, State, UK",UK,https://linkedin.com/company/hoolicorp100,691,813
101,Umbrella Corp 101,umbrellacorp101.com,1980,Engineering,11-50,"Los Angeles, CA, UK",UK,https://linkedin.com/company/umbrellacorp101,4576,4914
102,Stark Corp 102,starkcorp102.com,2018,Biotech,501-1000,"Los Angeles, England, USA",USA,https://linkedin.com/company/starkcorp102,1106,1182
103,Acme Corp 103,acmecorp103.com,1977,Chemicals,51-200,"Palo Alto, NY, USA",USA,https://linkedin.com/company/acmecorp103,1111,1375
104,Initech Corp 104,initechcorp104.com,2006,Finance,11-50,"Gotham, England, UK",UK,https://linkedin.com/company/initechcorp104,8732,8952
105,Oscorp Corp 105,oscorpcorp105.com,2003,Pharma,501-1000,"Gotham, NY, USA",USA,https://linkedin.com/company/oscorpcorp105,1708,2074
106,Hooli Corp 106,hoolicorp106.com,1982,Biotech,51-200,"New York, CA, USA",USA,https://linkedin.com/company/hoolicorp106,2506,2667
107,Stark Corp 107,starkcorp107.com,2009,Food & Beverage,501-1000,"Raccoon City, CA, UK",UK,https://linkedin.com/company/starkcorp107,8144,8379
108,Stark Corp 108,starkcorp108.com,2012,Technology,11-50,"Raccoon City, CA, USA",USA,https://linkedin.com/company/starkcorp108,2293,2412
109,Hooli Corp 109,hoolicorp109.com,1979,Food & Beverage,5001-10000,"Los Angeles, England, USA",USA,https://linkedin.com/company/hoolicorp109,7590,7920
110,Umbrella Corp 110,umbrellacorp110.com,1979,Software,5001-10000,"Raccoon City, NY, USA",USA,https://linkedin.com/company/umbrellacorp110,8008,8493
111,Wonka Corp 111,wonkacorp111.com,1964,Software,1001-5000,"Gotham, State, USA",USA,https://linkedin.com/company/wonkacorp111,7704,8065
112,Initech Corp 112,initechcorp112.com,2003,Technology,501-1000,"Raccoon City, England, UK",UK,https://linkedin.com/company/initechcorp112,7558,7683
113,Initech Corp 113,initechcorp113.com,1975,Industrial,11-50,"Palo Alto, CA, UK",UK,https://linkedin.com/company/initechcorp113,5174,5196
114,Acme Corp 114,acmecorp114.com,1999,Food & Beverage,5001-10000,"Raccoon City, England, USA",USA,https://linkedin.com/company/acmecorp114,4469,4733
115,Wayne Corp 115,waynecorp115.com,2014,Biotech,1001-5000,"Palo Alto, NY, USA",USA,https://linkedin.com/company/waynecorp115,2248,2591
116,Initech Corp 116,initechcorp116.com,1980,Tech,501-1000,"Raccoon City, CA, USA",USA,https://linkedin.com/company/initechcorp116,8952,9084
117,Oscorp Corp 117,oscorpcorp117.com,1966,Software,51-200,"San Francisco, CA, UK",UK,https://linkedin.com/company/oscorpcorp117,8602,8918
118,Umbrella Corp 118,umbrellacorp118.com,2002,Tech,501-1000,"Raccoon City, NY, USA",USA,https://linkedin.com/company/umbrellacorp118,9065,9101
119,Wayne Corp 119,waynecorp119.com,1975,Engineering,501-1000,"Raccoon City, State, USA",USA,https://linkedin.com/company/waynecorp119,4660,4898
120,Umbrella Corp 120,umbrellacorp120.com,2021,Chemicals,1001-5000,"New York, England, USA",USA,https://linkedin.com/company/umbrellacorp120,5688,5756
121,Globex Corp 121,globexcorp121.com,1970,Tech,11-50,"London, CA, USA",USA,https://linkedin.com/company/globexcorp121,4406,4585
122,Globex Corp 122,globexcorp122.com,1994,Chemicals,501-1000,"London, CA, UK",UK,https://linkedin.com/company/globexcorp122,8581,8940
123,Globex Corp 123,globexcorp123.com,2021,Tech,51-200,"New York, State, UK",UK,https://linkedin.com/company/globexcorp123,5784,6284
124,Acme Corp 124,acmecorp124.com,1997,Engineering,5001-10000,"San Francisco, State, USA",USA,https://linkedin.com/company/acmecorp124,3006,3280
125,Wonka Corp 125,wonkacorp125.com,2014,Tech,5001-10000,"Gotham, State, USA",USA,https://linkedin.com/company/wonkacorp125,4700,4972
126,Wonka Corp 126,wonkacorp126.com,2019,Chemicals,51-200,"San Francisco, NY, UK",UK,https://linkedin.com/company/wonkacorp126,4094,4419
127,Initech Corp 127,initechcorp127.com,2012,Technology,51-200,"Raccoon City, NY, USA",USA,https://linkedin.com/company/initechcorp127,7472,7876
128,Oscorp Corp 128,oscorpcorp128.com,1966,Tech,1001-5000,"New York, NY, UK",UK,https://linkedin.com/company/oscorpcorp128,6476,6969
129,Umbrella Corp 129,umbrellacorp129.com,1986,Biotech,1001-5000,"London, CA, UK",UK,https://linkedin.com/company/umbrellacorp129,76,556
130,Umbrella Corp 130,umbrellacorp130.com,2019,Industrial,1001-5000,"Gotham, CA, USA",USA,https://linkedin.com/company/umbrellacorp130,8090,8162
131,Umbrella Corp 131,umbrellacorp131.com,1986,Technology,201-500,"San Francisco, CA, USA",USA,https://linkedin.com/company/umbrellacorp131,2957,3406
132,Wayne Corp 132,waynecorp132.com,2020,Chemicals,51-200,"London, State, USA",USA,https://linkedin.com/company/waynecorp132,4881,5314
133,Umbrella Corp 133,umbrellacorp133.com,2009,Pharma,11-50,"Palo Alto, State, UK",UK,https://linkedin.com/company/umbrellacorp133,2354,2654
134,Hooli Corp 134,hoolicorp134.com,1973,Finance,1001-5000,"Los Angeles, NY, USA",USA,https://linkedin.com/company/hoolicorp134,6128,6280
135,Stark Corp 135,starkcorp135.com,1991,Biotech,1001-5000,"San Francisco, England, UK",UK,https://linkedin.com/company/starkcorp135,9462,9843
136,Stark Corp 136,starkcorp136.com,1992,Chemicals,11-50,"San Francisco, State, USA",USA,https://linkedin.com/company/starkcorp136,4218,4229
137,Acme Corp 137,acmecorp137.com,2016,Biotech,51-200,"San Francisco, CA, USA",USA,https://linkedin.com/company/acmecorp137,1204,1478
138,Stark Corp 138,starkcorp138.com,2003,Tech,201-500,"Palo Alto, State, USA",USA,https://linkedin.com/company/starkcorp138,5662,5946
139,Stark Corp 139,starkcorp139.com,2005,Biotech,501-1000,"Gotham, CA, UK",UK,https://linkedin.com/company/starkcorp139,5655,6112
140,Umbrella Corp 140,umbrellacorp140.com,1986,Industrial,1001-5000,"San Francisco, State, USA",USA,https://linkedin.com/company/umbrellacorp140,9109,9211
141,Wayne Corp 141,waynecorp141.com,1998,Industrial,201-500,"London, England, USA",USA,https://linkedin.com/company/waynecorp141,7198,7549
142,Acme Corp 142,acmecorp142.com,2019,Tech,5001-10000,"New York, NY, USA",USA,https://linkedin.com/company/acmecorp142,6670,7040
143,Stark Corp 143,starkcorp143.com,1979,Tech,1001-5000,"Palo Alto, NY, USA",USA,https://linkedin.com/company/starkcorp143,5250,5262
144,Globex Corp 144,globexcorp144.com,1980,Technology,201-500,"Raccoon City, CA, USA",USA,https://linkedin.com/company/globexcorp144,1517,1944
145,Tyrell Corp 145,tyrellcorp145.com,2010,Pharma,1001-5000,"New York, CA, USA",USA,https://linkedin.com/company/tyrellcorp145,9687,9899
146,Globex Corp 146,globexcorp146.com,2014,Engineering,11-50,"Palo Alto, State, USA",USA,https://linkedin.com/company/globexcorp146,9265,9413
147,Oscorp Corp 147,oscorpcorp147.com,1982,Software,5001-10000,"Palo Alto, State, UK",UK,https://linkedin.com/company/oscorpcorp147,6475,6485
148,Acme Corp 148,acmecorp148.com,1964,Pharma,51-200,"London, England, UK",UK,https://linkedin.com/company/acmecorp148,974,1298
149,Initech Corp 149,initechcorp149.com,1984,Chemicals,11-50,"Los Angeles, England, USA",USA,https://linkedin.com/company/initechcorp149,7421,7781
150,Initech Corp 150,initechcorp150.com,1986,Technology,5001-10000,"Los Angeles, England, UK",UK,https://linkedin.com/company/initechcorp150,7313,7614
151,Hooli Corp 151,hoolicorp151.com,2019,Finance,1001-5000,"London, England, USA",USA,https://linkedin.com/company/hoolicorp151,3404,3428
152,Wayne Corp 152,waynecorp152.com,2005,Food & Beverage,201-500,"London, England, USA",USA,https://linkedin.com/company/waynecorp152,5071,5146
153,Umbrella Corp 153,umbrellacorp153.com,2014,Industrial,1001-5000,"Los Angeles, England, USA",USA,https://linkedin.com/company/umbrellacorp153,6112,6525
154,Wonka Corp 154,wonkacorp154.com,1982,Tech,1001-5000,"Los Angeles, England, UK",UK,https://linkedin.com/company/wonkacorp154,6153,6369
155,Globex Corp 155,globexcorp155.com,1960,Software,51-200,"Raccoon City, CA, USA",USA,https://linkedin.com/company/globexcorp155,8611,8907
156,Globex Corp 156,globexcorp156.com,1992,Tech,5001-10000,"Los Angeles, State, UK",UK,https://linkedin.com/company/globexcorp156,6484,6766
157,Wayne Corp 157,waynecorp157.com,1976,Industrial,51-200,"San Francisco, State, USA",USA,https://linkedin.com/company/waynecorp157,2410,2411
158,Initech Corp 158,initechcorp158.com,1965,Chemicals,5001-10000,"London, State, USA",USA,https://linkedin.com/company/initechcorp158,2507,2754
159,Oscorp Corp 159,oscorpcorp159.com,1966,Biotech,501-1000,"Raccoon City, State, UK",UK,https://linkedin.com/company/oscorpcorp159,1250,1707
160,Wonka Corp 160,wonkacorp160.com,1965,Chemicals,501-1000,"Palo Alto, England, USA",USA,https://linkedin.com/company/wonkacorp160,1087,1143
161,Hooli Corp 161,hoolicorp161.com,1990,Finance,1001-5000,"Gotham, CA, UK",UK,https://linkedin.com/company/hoolicorp161,3677,3678
162,Initech Corp 162,initechcorp162.com,2022,Pharma,1001-5000,"Raccoon City, England, USA",USA,https://linkedin.com/company/initechcorp162,5599,5800
163,Tyrell Corp 163,tyrellcorp163.com,2009,Pharma,1001-5000,"Los Angeles, England, USA",USA,https://linkedin.com/company/tyrellcorp163,5269,5412
164,Hooli Corp 164,hoolicorp164.com,2001,Engineering,1001-5000,"New York, State, USA",USA,https://linkedin.com/company/hoolicorp164,2236,2533
165,Acme Corp 165,acmecorp165.com,2016,Biotech,51-200,"Gotham, CA, UK",UK,https://linkedin.com/company/acmecorp165,4233,4699
166,Wonka Corp 166,wonkacorp166.com,1974,Biotech,51-200,"New York, England, UK",UK,https://linkedin.com/company/wonkacorp166,2461,2515
167,Globex Corp 167,globexcorp167.com,1985,Engineering,201-500,"Los Angeles, England, USA",USA,https://linkedin.com/company/globexcorp167,9900,10290
168,Initech Corp 168,initechcorp168.com,1994,Chemicals,201-500,"Los Angeles, State, USA",USA,https://linkedin.com/company/initechcorp168,833,886
169,Umbrella Corp 169,umbrellacorp169.com,2002,Chemicals,201-500,"New York, State, USA",USA,https://linkedin.com/company/umbrellacorp169,5896,6060
170,Acme Corp 170,acmecorp170.com,2007,Tech,51-200,"Gotham, NY, UK",UK,https://linkedin.com/company/acmecorp170,1965,2187
171,Hooli Corp 171,hoolicorp171.com,1965,Industrial,201-500,"Los Angeles, State, UK",UK,https://linkedin.com/company/hoolicorp171,3217,3480
172,Wayne Corp 172,waynecorp172.com,2012,Tech,501-1000,"Gotham, CA, USA",USA,https://linkedin.com/company/waynecorp172,1890,1943
173,Hooli Corp 173,hoolicorp173.com,2022,Pharma,1001-5000,"San Francisco, CA, UK",UK,https://linkedin.com/company/hoolicorp173,1297,1608
174,Initech Corp 174,initechcorp174.com,2010,Chemicals,201-500,"Raccoon City, NY, UK",UK,https://linkedin.com/company/initechcorp174,4124,4285
175,Initech Corp 175,initechcorp175.com,1987,Tech,11-50,"Raccoon City, NY, USA",USA,https://linkedin.com/company/initechcorp175,564,857
176,Wayne Corp 176,waynecorp176.com,2016,Chemicals,501-1000,"Palo Alto, CA, USA",USA,https://linkedin.com/company/waynecorp176,5416,5694
177,Wayne Corp 177,waynecorp177.com,1970,Food & Beverage,1001-5000,"London, CA, USA",USA,https://linkedin.com/company/waynecorp177,7153,7457
178,Acme Corp 178,acmecorp178.com,1968,Finance,1001-5000,"New York, England, USA",USA,https://linkedin.com/company/acmecorp178,5150,5556
179,Tyrell Corp 179,tyrellcorp179.com,1975,Software,501-1000,"Gotham, England, USA",USA,https://linkedin.com/company/tyrellcorp179,63,316
180,Wayne Corp 180,waynecorp180.com,1963,Biotech,51-200,"San Francisco, State, USA",USA,https://linkedin.com/company/waynecorp180,6809,7175
181,Initech Corp 181,initechcorp181.com,1961,Industrial,501-1000,"Palo Alto, State, USA",USA,https://linkedin.com/company/initechcorp181,2217,2648
182,Acme Corp 182,acmecorp182.com,1995,Pharma,501-1000,"Los Angeles, CA, UK",UK,https://linkedin.com/company/acmecorp182,2573,2722
183,Stark Corp 183,starkcorp183.com,1966,Engineering,51-200,"San Francisco, CA, USA",USA,https://linkedin.com/company/starkcorp183,409,802
184,Oscorp Corp 184,oscorpcorp184.com,1965,Finance,11-50,"London, State, UK",UK,https://linkedin.com/company/oscorpcorp184,2219,2365
185,Umbrella Corp 185,umbrellacorp185.com,1995,Tech,201-500,"Gotham, NY, USA",USA,https://linkedin.com/company/umbrellacorp185,2343,2588
186,Wayne Corp 186,waynecorp186.com,1990,Pharma,11-50,"Gotham, England, UK",UK,https://linkedin.com/company/waynecorp186,8371,8808
187,Wonka Corp 187,wonkacorp187.com,2004,Pharma,5001-10000,"Raccoon City, England, USA",USA,https://linkedin.com/company/wonkacorp187,7138,7429
188,Stark Corp 188,starkcorp188.com,2013,Biotech,51-200,"Los Angeles, NY, USA",USA,https://linkedin.com/company/starkcorp188,3656,3989
189,Umbrella Corp 189,umbrellacorp189.com,1982,Pharma,201-500,"San Francisco, England, USA",USA,https://linkedin.com/company/umbrellacorp189,7038,7380
190,Stark Corp 190,starkcorp190.com,1965,Finance,501-1000,"New York, CA, USA",USA,https://linkedin.com/company/starkcorp190,4707,5190
191,Tyrell Corp 191,tyrellcorp191.com,1963,Chemicals,5001-10000,"New York, NY, USA",USA,https://linkedin.com/company/tyrellcorp191,6713,7038
192,Wonka Corp 192,wonkacorp192.com,1976,Chemicals,201-500,"London, State, UK",UK,https://linkedin.com/company/wonkacorp192,2595,2847
193,Oscorp Corp 193,oscorpcorp193.com,1974,Chemicals,51-200,"Raccoon City, State, USA",USA,https://linkedin.com/company/oscorpcorp193,4582,4780
194,Acme Corp 194,acmecorp194.com,2003,Industrial,201-500,"Los Angeles, State, USA",USA,https://linkedin.com/company/acmecorp194,8303,8562
195,Umbrella Corp 195,umbrellacorp195.com,1964,Pharma,201-500,"Palo Alto, England, UK",UK,https://linkedin.com/company/umbrellacorp195,9494,9892
196,Wayne Corp 196,waynecorp196.com,1974,Pharma,11-50,"London, NY, UK",UK,https://linkedin.com/company/waynecorp196,2657,2990
197,Oscorp Corp 197,oscorpcorp197.com,1964,Chemicals,11-50,"Los Angeles, NY, UK",UK,https://linkedin.com/company/oscorpcorp197,3402,3461
198,Initech Corp 198,initechcorp198.com,1990,Pharma,1001-5000,"Palo Alto, England, UK",UK,https://linkedin.com/company/initechcorp198,9620,9864
199,Umbrella Corp 199,umbrellacorp199.com,1981,Finance,51-200,"London, CA, USA",USA,https://linkedin.com/company/umbrellacorp199,9274,9591
200,Globex Corp 200,globexcorp200.com,2018,Industrial,11-50,"Palo Alto, State, UK",UK,https://linkedin.com/company/globexcorp200,7270,7582
201,Globex Corp 201,globexcorp201.com,2004,Pharma,201-500,"New York, CA, UK",UK,https://linkedin.com/company/globexcorp201,603,812
202,Oscorp Corp 202,oscorpcorp202.com,1977,Tech,51-200,"San Francisco, CA, UK",UK,https://linkedin.com/company/oscorpcorp202,5301,5479
203,Oscorp Corp 203,oscorpcorp203.com,1997,Engineering,11-50,"Raccoon City, CA, USA",USA,https://linkedin.com/company/oscorpcorp203,6032,6367
204,Wayne Corp 204,waynecorp204.com,1981,Industrial,201-500,"San Francisco, CA, UK",UK,https://linkedin.com/company/waynecorp204,2226,2235
205,Initech Corp 205,initechcorp205.com,2005,Pharma,51-200,"San Francisco, NY, UK",UK,https://linkedin.com/company/initechcorp205,230,250
206,Globex Corp 206,globexcorp206.com,2004,Pharma,1001-5000,"New York, NY, UK",UK,https://linkedin.com/company/globexcorp206,4900,5242
207,Umbrella Corp 207,umbrellacorp207.com,1986,Engineering,1001-5000,"Raccoon City, England, UK",UK,https://linkedin.com/company/umbrellacorp207,3240,3698
208,Globex Corp 208,globexcorp208.com,1989,Engineering,5001-10000,"Los Angeles, State, UK",UK,https://linkedin.com/company/globexcorp208,901,1306
209,Oscorp Corp 209,oscorpcorp209.com,1966,Engineering,11-50,"Gotham, NY, UK",UK,https://linkedin.com/company/oscorpcorp209,677,1164
210,Tyrell Corp 210,tyrellcorp210.com,1975,Biotech,501-1000,"Palo Alto, England, USA",USA,https://linkedin.com/company/tyrellcorp210,7050,7488
211,Wayne Corp 211,waynecorp211.com,1998,Food & Beverage,11-50,"Gotham, State, USA",USA,https://linkedin.com/company/waynecorp211,9894,9905
212,Wayne Corp 212,waynecorp212.com,1994,Technology,501-1000,"New York, CA, USA",USA,https://linkedin.com/company/waynecorp212,4574,4733
213,Stark Corp 213,starkcorp213.com,2019,Biotech,201-500,"Palo Alto, CA, USA",USA,https://linkedin.com/company/starkcorp213,1856,2024
214,Stark Corp 214,starkcorp214.com,2003,Software,201-500,"Palo Alto, State, UK",UK,https://linkedin.com/company/starkcorp214,8207,8330
215,Wayne Corp 215,waynecorp215.com,1971,Industrial,51-200,"Palo Alto, State, UK",UK,https://linkedin.com/company/waynecorp215,6538,6674
216,Hooli Corp 216,hoolicorp216.com,1964,Software,501-1000,"Raccoon City, State, USA",USA,https://linkedin.com/company/hoolicorp216,3041,3216
217,Globex Corp 217,globexcorp217.com,1971,Pharma,11-50,"New York, NY, UK",UK,https://linkedin.com/company/globexcorp217,9379,9513
218,Wonka Corp 218,wonkacorp218.com,2009,Tech,201-500,"Palo Alto, England, UK",UK,https://linkedin.com/company/wonkacorp218,3590,3839
219,Stark Corp 219,starkcorp219.com,2007,Biotech,501-1000,"New York, NY, USA",USA,https://linkedin.com/company/starkcorp219,932,1060
220,Wonka Corp 220,wonkacorp220.com,1969,Finance,11-50,"Gotham, CA, USA",USA,https://linkedin.com/company/wonkacorp220,2665,2735
221,Tyrell Corp 221,tyrellcorp221.com,2001,Biotech,51-200,"San Francisco, State, UK",UK,https://linkedin.com/company/tyrellcorp221,4340,4535
222,Globex Corp 222,globexcorp222.com,2015,Pharma,5001-10000,"Raccoon City, State, USA",USA,https://linkedin.com/company/globexcorp222,4688,4758
223,Oscorp Corp 223,oscorpcorp223.com,2012,Engineering,51-200,"New York, State, USA",USA,https://linkedin.com/company/oscorpcorp223,4560,4706
224,Stark Corp 224,starkcorp224.com,1962,Pharma,1001-5000,"Gotham, England, USA",USA,https://linkedin.com/company/starkcorp224,721,1137
225,Stark Corp 225,starkcorp225.com,2011,Tech,201-500,"Los Angeles, State, USA",USA,https://linkedin.com/company/starkcorp225,4414,4460
226,Wonka Corp 226,wonkacorp226.com,1976,Technology,11-50,"San Francisco, CA, USA",USA,https://linkedin.com/company/wonkacorp226,4897,5214
227,Tyrell Corp 227,tyrellcorp227.com,2001,Biotech,11-50,"Los Angeles, CA, USA",USA,https://linkedin.com/company/tyrellcorp227,2590,2935
228,Wonka Corp 228,wonkacorp228.com,1960,Biotech,5001-10000,"London, CA, USA",USA,https://linkedin.com/company/wonkacorp228,1121,1521
229,Stark Corp 229,starkcorp229.com,1968,Food & Beverage,5001-10000,"San Francisco, NY, USA",USA,https://linkedin.com/company/starkcorp229,8710,9006
230,Hooli Corp 230,hoolicorp230.com,2017,Engineering,1001-5000,"New York, NY, USA",USA,https://linkedin.com/company/hoolicorp230,6952,7337
231,Acme Corp 231,acmecorp231.com,2020,Tech,5001-10000,"Palo Alto, England, UK",UK,https://linkedin.com/company/acmecorp231,458,513
232,Acme Corp 232,acmecorp232.com,1999,Industrial,51-200,"Palo Alto, NY, UK",UK,https://linkedin.com/company/acmecorp232,2931,3427
233,Acme Corp 233,acmecorp233.com,2015,Tech,201-500,"London, England, UK",UK,https://linkedin.com/company/acmecorp233,6045,6262
234,Stark Corp 234,starkcorp234.com,1988,Pharma,1001-5000,"Gotham, CA, UK",UK,https://linkedin.com/company/starkcorp234,2943,3394
235,Globex Corp 235,globexcorp235.com,1975,Industrial,201-500,"London, NY, UK",UK,https://linkedin.com/company/globexcorp235,8026,8519
236,Wonka Corp 236,wonkacorp236.com,1997,Software,51-200,"New York, CA, USA",USA,https://linkedin.com/company/wonkacorp236,7206,7441
237,Initech Corp 237,initechcorp237.com,2018,Pharma,1001-5000,"Los Angeles, CA, USA",USA,https://linkedin.com/company/initechcorp237,4163,4262
238,Wayne Corp 238,waynecorp238.com,1960,Software,501-1000,"Palo Alto, CA, UK",UK,https://linkedin.com/company/waynecorp238,6154,6651
239,Wonka Corp 239,wonkacorp239.com,1993,Engineering,5001-10000,"Los Angeles, England, UK",UK,https://linkedin.com/company/wonkacorp239,8072,8285
240,Hooli Corp 240,hoolicorp240.com,2019,Finance,51-200,"Raccoon City, NY, UK",UK,https://linkedin.com/company/hoolicorp240,4194,4627
241,Wonka Corp 241,wonkacorp241.com,2015,Pharma,201-500,"Palo Alto, England, UK",UK,https://linkedin.com/company/wonkacorp241,857,1149
242,Wonka Corp 242,wonkacorp242.com,1969,Pharma,1001-5000,"Raccoon City, State, UK",UK,https://linkedin.com/company/wonkacorp242,1103,1526
243,Wayne Corp 243,waynecorp243.com,2005,Biotech,51-200,"London, CA, UK",UK,https://linkedin.com/company/waynecorp243,7810,8102
244,Wayne Corp 244,waynecorp244.com,1986,Technology,501-1000,"San Francisco, CA, USA",USA,https://linkedin.com/company/waynecorp244,5970,6295
245,Wayne Corp 245,waynecorp245.com,1989,Pharma,1001-5000,"Los Angeles, NY, USA",USA,https://linkedin.com/company/waynecorp245,2775,3209
246,Initech Corp 246,initechcorp246.com,1961,Engineering,1001-5000,"San Francisco, England, USA",USA,https://linkedin.com/company/initechcorp246,5933,6346
247,Acme Corp 247,acmecorp247.com,1999,Software,201-500,"London, CA, USA",USA,https://linkedin.com/company/acmecorp247,5038,5332
248,Stark Corp 248,starkcorp248.com,1979,Software,1001-5000,"New York, State, UK",UK,https://linkedin.com/company/starkcorp248,8759,8979
249,Umbrella Corp 249,umbrellacorp249.com,1966,Chemicals,1001-5000,"Los Angeles, England, USA",USA,https://linkedin.com/company/umbrellacorp249,6977,7268
250,Hooli Corp 250,hoolicorp250.com,1967,Biotech,1001-5000,"Gotham, CA, USA",USA,https://linkedin.com/company/hoolicorp250,3800,3825
251,Stark Corp 251,starkcorp251.com,2011,Tech,1001-5000,"Raccoon City, State, UK",UK,https://linkedin.com/company/starkcorp251,6702,6984
252,Stark Corp 252,starkcorp252.com,2001,Industrial,5001-10000,"New York, CA, UK",UK,https://linkedin.com/company/starkcorp252,8139,8380
253,Tyrell Corp 253,tyrellcorp253.com,1961,Chemicals,1001-5000,"Los Angeles, CA, UK",UK,https://linkedin.com/company/tyrellcorp253,4828,4913
254,Stark Corp 254,starkcorp254.com,2019,Food & Beverage,11-50,"Raccoon City, England, USA",USA,https://linkedin.com/company/starkcorp254,5189,5626
255,Tyrell Corp 255,tyrellcorp255.com,1962,Finance,1001-5000,"Raccoon City, England, USA",USA,https://linkedin.com/company/tyrellcorp255,5157,5243
256,Oscorp Corp 256,oscorpcorp256.com,2010,Software,51-200,"London, England, USA",USA,https://linkedin.com/company/oscorpcorp256,5024,5077
257,Oscorp Corp 257,oscorpcorp257.com,1973,Food & Beverage,1001-5000,"Los Angeles, State, USA",USA,https://linkedin.com/company/oscorpcorp257,2227,2535
